# Java (JDK / third-party) type -> C++ mapping. Consumed by tools/cppgen and implemented by jlang.
# Columns: javaFQN <TAB> cppType <TAB> header <TAB> kind <TAB> notes
#   cppType: C++ type used in declarations. $0,$1 = mapped type arguments (full C++ types,
#            e.g. "Player*", "int32_t"). A missing type argument (raw type / wildcard ?) maps to jlang::Object*.
#   header:  jlang header that declares it ("core" = <jlang/jlang.h>, always included by generated headers).
#   kind:    value     - C++ value type (no pointer)
#            ptr       - GC object held by pointer (class; may be used as base class)
#            iface     - interface (inherit with `public virtual`)
#            static    - utility class with only static members (never a declaration type)
#            exception - exception class (ptr when stored, thrown by value)
#            marker    - marker interface: dropped from base lists
#            unsupported - JVM-only facility; code using it must be rewritten by hand (generator emits jlang::Object* and a comment)
#            codebase  - maps to a class ported from this repository
# ---------------------------------------------------------------- java.lang
java.lang.Object	jlang::Object*	core	ptr
java.lang.String	jlang::String	core	value
java.lang.CharSequence	jlang::String	core	value
java.lang.StringBuilder	jlang::StringBuilder*	core	ptr
java.lang.StringBuffer	jlang::StringBuilder*	core	ptr
java.lang.AbstractStringBuilder	jlang::StringBuilder*	core	ptr
java.lang.Appendable	jlang::StringBuilder*	core	ptr
javolution.text.TextBuilder	jlang::StringBuilder*	core	ptr	TextBuilder.newInstance() -> new jlang::StringBuilder(); recycle() -> no-op
java.lang.Number	jlang::Number*	core	ptr	boxed-number base
java.lang.Integer	jlang::Integer*	core	ptr	boxed; see CONVENTIONS §4 for primitive/optional mapping
java.lang.Long	jlang::Long*	core	ptr	boxed
java.lang.Short	jlang::Short*	core	ptr	boxed
java.lang.Byte	jlang::Byte*	core	ptr	boxed
java.lang.Float	jlang::Float*	core	ptr	boxed
java.lang.Double	jlang::Double*	core	ptr	boxed
java.lang.Boolean	jlang::Boolean*	core	ptr	boxed
java.lang.Character	jlang::Character*	core	ptr	boxed
java.lang.Class	jlang::Class*	core	ptr
java.lang.Enum	jlang::Object*	core	ptr	only as Enum<?> parameter types; enums themselves are value classes
java.lang.Math	jlang::Math	core	static
java.lang.StrictMath	jlang::Math	core	static
java.lang.System	jlang::System	core	static
java.lang.Runtime	jlang::Runtime*	core	ptr
java.lang.Thread	jlang::Thread*	jlang/Thread.h	ptr
java.lang.ThreadGroup	jlang::ThreadGroup*	jlang/Thread.h	ptr
java.lang.Thread.UncaughtExceptionHandler	jlang::Thread_UncaughtExceptionHandler*	jlang/Thread.h	iface
java.lang.Runnable	jlang::Runnable*	core	iface
java.lang.Iterable	jlang::Iterable<$0>*	core	iface
java.lang.Comparable	jlang::Comparable<$0>*	core	iface
java.lang.Cloneable	-	core	marker
java.lang.StackTraceElement	jlang::StackTraceElement*	core	ptr
java.lang.Throwable	jlang::Throwable*	core	exception
java.lang.Exception	jlang::Exception*	core	exception
java.lang.Error	jlang::Error*	core	exception
java.lang.RuntimeException	jlang::RuntimeException*	core	exception
java.lang.IllegalArgumentException	jlang::IllegalArgumentException*	core	exception
java.lang.IllegalStateException	jlang::IllegalStateException*	core	exception
java.lang.NullPointerException	jlang::NullPointerException*	core	exception
java.lang.ClassCastException	jlang::ClassCastException*	core	exception
java.lang.ArithmeticException	jlang::ArithmeticException*	core	exception
java.lang.IndexOutOfBoundsException	jlang::IndexOutOfBoundsException*	core	exception
java.lang.ArrayIndexOutOfBoundsException	jlang::ArrayIndexOutOfBoundsException*	core	exception
java.lang.StringIndexOutOfBoundsException	jlang::StringIndexOutOfBoundsException*	core	exception
java.lang.NegativeArraySizeException	jlang::NegativeArraySizeException*	core	exception
java.lang.UnsupportedOperationException	jlang::UnsupportedOperationException*	core	exception
java.lang.NumberFormatException	jlang::NumberFormatException*	core	exception
java.lang.InterruptedException	jlang::InterruptedException*	core	exception
java.lang.CloneNotSupportedException	jlang::CloneNotSupportedException*	core	exception
java.lang.ClassNotFoundException	jlang::ClassNotFoundException*	core	exception
java.lang.InstantiationException	jlang::InstantiationException*	core	exception
java.lang.IllegalAccessException	jlang::IllegalAccessException*	core	exception
java.lang.NoSuchFieldException	jlang::NoSuchFieldException*	core	exception
java.lang.NoSuchMethodException	jlang::NoSuchMethodException*	core	exception
java.lang.SecurityException	jlang::SecurityException*	core	exception
java.lang.InternalError	jlang::InternalError*	core	exception
java.lang.OutOfMemoryError	jlang::OutOfMemoryError*	core	exception
java.lang.StackOverflowError	jlang::StackOverflowError*	core	exception
java.lang.AbstractMethodError	jlang::AbstractMethodError*	core	exception
java.lang.AssertionError	jlang::AssertionError*	core	exception
java.lang.ClassLoader	jlang::Object*	core	unsupported	script class loading; rewrite with the class registry
java.lang.annotation.Annotation	-	core	marker	annotations are generator metadata
java.lang.ref.Reference	jlang::Reference<$0>*	jlang/Ref.h	ptr
java.lang.ref.SoftReference	jlang::SoftReference<$0>*	jlang/Ref.h	ptr	soft = weak that survives while memory is available (implemented as strong until cleared by jlang::Runtime pressure hook)
java.lang.ref.WeakReference	jlang::WeakReference<$0>*	jlang/Ref.h	ptr	Boehm disappearing link
java.lang.ref.ReferenceQueue	jlang::ReferenceQueue<$0>*	jlang/Ref.h	ptr
java.lang.reflect.Field	jlang::Object*	core	unsupported	use generated metadata (config/JAXB binders, class registry)
java.lang.reflect.Method	jlang::Object*	core	unsupported
java.lang.reflect.Modifier	jlang::Object*	core	unsupported	Modifier.isAbstract(c.getModifiers()) -> c->isAbstract()
java.lang.reflect.Array	jlang::Object*	core	unsupported
java.lang.reflect.AccessibleObject	jlang::Object*	core	unsupported
java.lang.reflect.InvocationTargetException	jlang::Exception*	core	exception
java.lang.management.ManagementFactory	jlang::Object*	core	unsupported	DeadLockDetector: rewrite
java.lang.management.ThreadMXBean	jlang::Object*	core	unsupported
java.lang.management.ThreadInfo	jlang::Object*	core	unsupported
java.lang.management.LockInfo	jlang::Object*	core	unsupported
java.lang.management.MonitorInfo	jlang::Object*	core	unsupported
